meta_id,post_id,meta_key,meta_value
1,2,_wp_page_template,default
2,3,_wp_page_template,default
5,8,_edit_lock,1731259033:1
6,9,_wp_attached_file,2024/10/building-scaled.jpg
7,9,_wp_attachment_metadata,"a:7:{s:5:""width"";i:2560;s:6:""height"";i:1709;s:4:""file"";s:27:""2024/10/building-scaled.jpg"";s:8:""filesize"";i:439362;s:5:""sizes"";a:9:{s:6:""medium"";a:5:{s:4:""file"";s:20:""building-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:11417;}s:5:""large"";a:5:{s:4:""file"";s:21:""building-1024x684.jpg"";s:5:""width"";i:1024;s:6:""height"";i:684;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:77256;}s:9:""thumbnail"";a:5:{s:4:""file"";s:20:""building-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:6700;}s:12:""medium_large"";a:5:{s:4:""file"";s:20:""building-768x513.jpg"";s:5:""width"";i:768;s:6:""height"";i:513;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:45540;}s:9:""1536x1536"";a:5:{s:4:""file"";s:22:""building-1536x1025.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1025;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:167871;}s:9:""2048x2048"";a:5:{s:4:""file"";s:22:""building-2048x1367.jpg"";s:5:""width"";i:2048;s:6:""height"";i:1367;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:290287;}s:18:""professorLandscape"";a:5:{s:4:""file"";s:20:""building-400x260.jpg"";s:5:""width"";i:400;s:6:""height"";i:260;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:15886;}s:17:""professorPortrait"";a:5:{s:4:""file"";s:20:""building-480x650.jpg"";s:5:""width"";i:480;s:6:""height"";i:650;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:35294;}s:10:""pageBanner"";a:5:{s:4:""file"";s:21:""building-1500x350.jpg"";s:5:""width"";i:1500;s:6:""height"";i:350;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:76516;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}s:14:""original_image"";s:12:""building.jpg"";}"
8,8,_edit_last,1
9,8,page_banner_background_image,9
10,8,_page_banner_background_image,field_6727711aa25a0
11,10,page_banner_background_image,9
12,10,_page_banner_background_image,field_671cc91d97d58
13,8,page_banner,We Are a Great School That Has Been Around For A Long Time
14,8,_page_banner,field_6727710fa259f
15,11,page_banner_background_image,9
16,11,_page_banner_background_image,field_671cc91d97d58
17,11,page_banner,This is all about us
18,11,_page_banner,field_671cca02c2d12
28,3,_edit_lock,1729940482:1
29,15,_edit_lock,1731260203:1
31,18,_edit_last,1
32,18,_edit_lock,1730389602:1
33,15,_edit_last,1
34,15,event_date,20241130
35,15,_event_date,field_672378d0cf304
36,20,_edit_lock,1730564891:1
37,20,_edit_last,1
38,20,event_date,20241221
39,20,_event_date,field_672378d0cf304
40,21,_edit_lock,1734979883:1
41,21,_edit_last,1
42,21,event_date,20250907
43,21,_event_date,field_672378d0cf304
44,22,_edit_lock,1730558094:1
47,1,_edit_lock,1730556800:1
56,27,_edit_lock,1730556985:1
57,29,_edit_lock,1730557022:1
58,31,_edit_lock,1730557051:1
59,33,_edit_lock,1730558083:1
60,35,_edit_lock,1730557154:1
63,33,_edit_last,1
64,33,page_banner,""
65,33,_page_banner,field_6726383c14f34
66,34,page_banner,asadasd
67,34,_page_banner,field_6726383c14f34
68,39,page_banner,""
69,39,_page_banner,field_6726383c14f34
72,22,_edit_last,1
75,22,page_banner,asdfasdf
76,22,_page_banner,field_6726383c14f34
77,23,page_banner,asdfasdf
78,23,_page_banner,field_6726383c14f34
85,42,_edit_lock,1730558293:1
86,44,_edit_lock,1734979859:1
87,44,_edit_last,1
88,44,event_date,20250101
89,44,_event_date,field_672378d0cf304
90,45,_edit_lock,1731946650:1
91,46,_edit_lock,1731946642:1
92,47,_edit_lock,1731946622:1
93,48,_edit_last,1
94,48,_edit_lock,1730637039:1
95,20,related_programs,"a:1:{i:0;s:2:""46"";}"
96,20,_related_programs,field_672651f66d53c
97,50,_edit_lock,1730637728:1
98,51,_edit_lock,1730643081:1
99,52,_edit_lock,1730637604:1
100,51,_edit_last,1
101,51,related_programs,"a:1:{i:0;s:2:""47"";}"
102,51,_related_programs,field_672651f66d53c
103,50,_edit_last,1
104,50,related_programs,"a:1:{i:0;s:2:""46"";}"
105,50,_related_programs,field_672651f66d53c
106,52,_edit_last,1
107,52,related_programs,"a:1:{i:0;s:2:""45"";}"
108,52,_related_programs,field_672651f66d53c
109,53,_wp_attached_file,2024/11/frog-bio-scaled.jpg
110,53,_wp_attachment_metadata,"a:7:{s:5:""width"";i:2560;s:6:""height"";i:1999;s:4:""file"";s:27:""2024/11/frog-bio-scaled.jpg"";s:8:""filesize"";i:297483;s:5:""sizes"";a:9:{s:9:""thumbnail"";a:5:{s:4:""file"";s:20:""frog-bio-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:8428;}s:6:""medium"";a:5:{s:4:""file"";s:20:""frog-bio-300x234.jpg"";s:5:""width"";i:300;s:6:""height"";i:234;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:15208;}s:12:""medium_large"";a:5:{s:4:""file"";s:20:""frog-bio-768x600.jpg"";s:5:""width"";i:768;s:6:""height"";i:600;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:50646;}s:5:""large"";a:5:{s:4:""file"";s:21:""frog-bio-1024x800.jpg"";s:5:""width"";i:1024;s:6:""height"";i:800;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:76066;}s:9:""1536x1536"";a:5:{s:4:""file"";s:22:""frog-bio-1536x1199.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1199;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:137587;}s:9:""2048x2048"";a:5:{s:4:""file"";s:22:""frog-bio-2048x1599.jpg"";s:5:""width"";i:2048;s:6:""height"";i:1599;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:211428;}s:18:""professorLandscape"";a:5:{s:4:""file"";s:20:""frog-bio-400x260.jpg"";s:5:""width"";i:400;s:6:""height"";i:260;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:19001;}s:17:""professorPortrait"";a:5:{s:4:""file"";s:20:""frog-bio-480x650.jpg"";s:5:""width"";i:480;s:6:""height"";i:650;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:39609;}s:10:""pageBanner"";a:5:{s:4:""file"";s:21:""frog-bio-1500x350.jpg"";s:5:""width"";i:1500;s:6:""height"";i:350;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:50945;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}s:14:""original_image"";s:12:""frog-bio.jpg"";}"
111,52,_thumbnail_id,53
112,54,_wp_attached_file,2024/11/barksalot.jpg
113,54,_wp_attachment_metadata,"a:6:{s:5:""width"";i:400;s:6:""height"";i:260;s:4:""file"";s:21:""2024/11/barksalot.jpg"";s:8:""filesize"";i:31005;s:5:""sizes"";a:2:{s:9:""thumbnail"";a:5:{s:4:""file"";s:21:""barksalot-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7102;}s:6:""medium"";a:5:{s:4:""file"";s:21:""barksalot-300x195.jpg"";s:5:""width"";i:300;s:6:""height"";i:195;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:16940;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
114,51,_thumbnail_id,54
115,55,_wp_attached_file,2024/11/meowsalot.jpg
116,55,_wp_attachment_metadata,"a:6:{s:5:""width"";i:400;s:6:""height"";i:260;s:4:""file"";s:21:""2024/11/meowsalot.jpg"";s:8:""filesize"";i:18820;s:5:""sizes"";a:2:{s:9:""thumbnail"";a:5:{s:4:""file"";s:21:""meowsalot-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:5761;}s:6:""medium"";a:5:{s:4:""file"";s:21:""meowsalot-300x195.jpg"";s:5:""width"";i:300;s:6:""height"";i:195;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:10730;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
117,50,_thumbnail_id,55
118,56,_edit_last,1
119,56,_edit_lock,1730643009:1
120,59,_wp_attached_file,2024/11/field-scaled.jpg
121,59,_wp_attachment_metadata,"a:7:{s:5:""width"";i:2560;s:6:""height"";i:1707;s:4:""file"";s:24:""2024/11/field-scaled.jpg"";s:8:""filesize"";i:819686;s:5:""sizes"";a:9:{s:6:""medium"";a:5:{s:4:""file"";s:17:""field-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:14530;}s:5:""large"";a:5:{s:4:""file"";s:18:""field-1024x683.jpg"";s:5:""width"";i:1024;s:6:""height"";i:683;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:127360;}s:9:""thumbnail"";a:5:{s:4:""file"";s:17:""field-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7958;}s:12:""medium_large"";a:5:{s:4:""file"";s:17:""field-768x512.jpg"";s:5:""width"";i:768;s:6:""height"";i:512;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:72315;}s:9:""1536x1536"";a:5:{s:4:""file"";s:19:""field-1536x1024.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1024;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:287660;}s:9:""2048x2048"";a:5:{s:4:""file"";s:19:""field-2048x1365.jpg"";s:5:""width"";i:2048;s:6:""height"";i:1365;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:520004;}s:18:""professorLandscape"";a:5:{s:4:""file"";s:17:""field-400x260.jpg"";s:5:""width"";i:400;s:6:""height"";i:260;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:22416;}s:17:""professorPortrait"";a:5:{s:4:""file"";s:17:""field-480x650.jpg"";s:5:""width"";i:480;s:6:""height"";i:650;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:59364;}s:10:""pageBanner"";a:5:{s:4:""file"";s:18:""field-1500x350.jpg"";s:5:""width"";i:1500;s:6:""height"";i:350;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:106079;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}s:14:""original_image"";s:9:""field.jpg"";}"
122,51,page_banner,The Leading Voice On Barking And Biology
123,51,_page_banner,field_6727710fa259f
124,51,page_banner_background_image,59
125,51,_page_banner_background_image,field_6727711aa25a0
126,60,_edit_lock,1730820847:1
129,60,_edit_last,1
132,60,page_banner,""
133,60,_page_banner,field_6727710fa259f
134,60,page_banner_background_image,""
135,60,_page_banner_background_image,field_6727711aa25a0
136,61,page_banner,""
137,61,_page_banner,field_6727710fa259f
138,61,page_banner_background_image,""
139,61,_page_banner_background_image,field_6727711aa25a0
140,13,page_banner_background_image,9
141,13,_page_banner_background_image,field_6727711aa25a0
142,13,page_banner,We Are a Great School That Has Been Around
143,13,_page_banner,field_6727710fa259f
144,63,page_banner_background_image,9
145,63,_page_banner_background_image,field_6727711aa25a0
146,63,page_banner,We Are a Great School That Has Been Around For A Long Time
147,63,_page_banner,field_6727710fa259f
148,65,_wp_attached_file,2024/10/notebook-scaled.jpg
149,65,_wp_attachment_metadata,"a:7:{s:5:""width"";i:2560;s:6:""height"";i:1922;s:4:""file"";s:27:""2024/10/notebook-scaled.jpg"";s:8:""filesize"";i:288549;s:5:""sizes"";a:9:{s:6:""medium"";a:5:{s:4:""file"";s:20:""notebook-300x225.jpg"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:12317;}s:5:""large"";a:5:{s:4:""file"";s:21:""notebook-1024x769.jpg"";s:5:""width"";i:1024;s:6:""height"";i:769;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:58524;}s:9:""thumbnail"";a:5:{s:4:""file"";s:20:""notebook-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7169;}s:12:""medium_large"";a:5:{s:4:""file"";s:20:""notebook-768x577.jpg"";s:5:""width"";i:768;s:6:""height"";i:577;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:39195;}s:9:""1536x1536"";a:5:{s:4:""file"";s:22:""notebook-1536x1153.jpg"";s:5:""width"";i:1536;s:6:""height"";i:1153;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:107329;}s:9:""2048x2048"";a:5:{s:4:""file"";s:22:""notebook-2048x1538.jpg"";s:5:""width"";i:2048;s:6:""height"";i:1538;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:180033;}s:18:""professorLandscape"";a:5:{s:4:""file"";s:20:""notebook-400x260.jpg"";s:5:""width"";i:400;s:6:""height"";i:260;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:15871;}s:17:""professorPortrait"";a:5:{s:4:""file"";s:20:""notebook-480x650.jpg"";s:5:""width"";i:480;s:6:""height"";i:650;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:27183;}s:10:""pageBanner"";a:5:{s:4:""file"";s:21:""notebook-1500x350.jpg"";s:5:""width"";i:1500;s:6:""height"";i:350;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:35710;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}s:14:""original_image"";s:12:""notebook.jpg"";}"
150,15,page_banner,""
151,15,_page_banner,field_6727710fa259f
152,15,page_banner_background_image,65
153,15,_page_banner_background_image,field_6727711aa25a0
154,15,related_programs,""
155,15,_related_programs,field_672651f66d53c
156,66,_edit_lock,1731941510:1
157,66,_edit_last,1
158,66,page_banner,A Beautiful Campus In The Heart Of Downtown
159,66,_page_banner,field_6727710fa259f
160,66,page_banner_background_image,""
161,66,_page_banner_background_image,field_6727711aa25a0
162,67,_edit_lock,1731434077:1
163,67,_edit_last,1
164,67,page_banner,""
165,67,_page_banner,field_6727710fa259f
166,67,page_banner_background_image,""
167,67,_page_banner_background_image,field_6727711aa25a0
168,69,_edit_last,1
169,69,_edit_lock,1731946316:1
170,71,_edit_last,1
171,71,_edit_lock,1731946461:1
172,47,_edit_last,1
173,47,page_banner,""
174,47,_page_banner,field_6727710fa259f
175,47,page_banner_background_image,""
176,47,_page_banner_background_image,field_6727711aa25a0
177,47,related_campus,"a:1:{i:0;s:2:""67"";}"
178,47,_related_campus,field_673b67e179701
179,46,_edit_last,1
180,46,page_banner,""
181,46,_page_banner,field_6727710fa259f
182,46,page_banner_background_image,""
183,46,_page_banner_background_image,field_6727711aa25a0
184,46,related_campus,"a:1:{i:0;s:2:""66"";}"
185,46,_related_campus,field_673b67e179701
186,45,_edit_last,1
187,45,page_banner,""
188,45,_page_banner,field_6727710fa259f
189,45,page_banner_background_image,""
190,45,_page_banner_background_image,field_6727711aa25a0
191,45,related_campus,"a:2:{i:0;s:2:""67"";i:1;s:2:""66"";}"
192,45,_related_campus,field_673b67e179701
193,44,page_banner,""
194,44,_page_banner,field_6727710fa259f
195,44,page_banner_background_image,""
196,44,_page_banner_background_image,field_6727711aa25a0
197,44,related_programs,""
198,44,_related_programs,field_672651f66d53c
199,21,page_banner,""
200,21,_page_banner,field_6727710fa259f
201,21,page_banner_background_image,""
202,21,_page_banner_background_image,field_6727711aa25a0
203,21,related_programs,""
204,21,_related_programs,field_672651f66d53c
205,77,_edit_lock,1737230490:1
209,77,_edit_last,1
210,77,_pingme,1
211,77,page_banner,""
212,77,_page_banner,field_6727710fa259f
213,77,page_banner_background_image,""
214,77,_page_banner_background_image,field_6727711aa25a0
215,79,page_banner,""
216,79,_page_banner,field_6727710fa259f
217,79,page_banner_background_image,""
218,79,_page_banner_background_image,field_6727711aa25a0
